id,element_id,element_type,country,unit_type,reason,keywords,details,timestamp,url,lat,lon
way/441265449,441265449,way,Burkina Faso,plant,Missing source tag,none,"tags: {'barrier': 'wall', 'name': 'SONABEL', 'power': 'plant'}",2026-07-01 00:54:33.806226,https://www.openstreetmap.org/way/441265449,12.257449859010055,-0.4224100665297816
way/1081487840,1081487840,way,Burkina Faso,plant,Capacity regex no match,1.1 Mw,Tag 'plant:output:electricity' has value '1.1 Mw' which could not be parsed,2026-07-01 00:54:33.808350,https://www.openstreetmap.org/way/1081487840,12.491345800000001,-1.11923685
way/1085068657,1085068657,way,Burkina Faso,plant,Capacity placeholder value,yes,Tag 'plant:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:33.808963,https://www.openstreetmap.org/way/1085068657,12.35178883822343,-1.5374137063541928
way/1284484587,1284484587,way,Burkina Faso,plant,Capacity regex no match,38 Mw,Tag 'plant:output:electricity' has value '38 Mw' which could not be parsed,2026-07-01 00:54:33.809575,https://www.openstreetmap.org/way/1284484587,11.112153625967919,-4.357781403842708
way/1292854531,1292854531,way,Burkina Faso,plant,Capacity placeholder value,yes,Tag 'plant:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:33.809936,https://www.openstreetmap.org/way/1292854531,11.9888845932739,1.4114629661067943
way/1292854973,1292854973,way,Burkina Faso,plant,Capacity placeholder value,yes,Tag 'plant:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:33.810105,https://www.openstreetmap.org/way/1292854973,10.375282814599155,-5.384978784613332
way/1424092743,1424092743,way,Burkina Faso,plant,Missing output tag,none,"tags: {'plant:source': 'solar', 'power': 'plant'}",2026-07-01 00:54:33.811325,https://www.openstreetmap.org/way/1424092743,14.015937368068899,0.004708720415709191
way/1463744235,1463744235,way,Burkina Faso,plant,Missing source tag,none,"tags: {'barrier': 'fence', 'name': 'Centrale solaire', 'power': 'plant'}",2026-07-01 00:54:33.812478,https://www.openstreetmap.org/way/1463744235,13.41551975682596,-2.3114799872672727
node/1960667500,1960667500,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735549,https://www.openstreetmap.org/node/1960667500,14.972916,-23.5144196
node/1960667535,1960667535,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735577,https://www.openstreetmap.org/node/1960667535,14.9750158,-23.5172777
node/1960667631,1960667631,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735597,https://www.openstreetmap.org/node/1960667631,14.9761495,-23.5187989
node/1960667150,1960667150,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735612,https://www.openstreetmap.org/node/1960667150,14.9702628,-23.5120117
node/3298687817,3298687817,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735625,https://www.openstreetmap.org/node/3298687817,14.9667248,-23.5050149
node/3298687816,3298687816,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735639,https://www.openstreetmap.org/node/3298687816,14.9668528,-23.507375
node/1960667755,1960667755,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735652,https://www.openstreetmap.org/node/1960667755,14.9770305,-23.5204734
node/1960667722,1960667722,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735666,https://www.openstreetmap.org/node/1960667722,14.9695338,-23.5101234
node/3298687815,3298687815,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735679,https://www.openstreetmap.org/node/3298687815,14.9678235,-23.5088446
node/1960667207,1960667207,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735691,https://www.openstreetmap.org/node/1960667207,14.9738901,-23.5157882
node/1960667239,1960667239,node,Cabo Verde,generator,Capacity placeholder value,yes,Tag 'generator:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:54:40.735703,https://www.openstreetmap.org/node/1960667239,14.9712746,-23.5132833
node/6296139543,6296139543,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736500,https://www.openstreetmap.org/node/6296139543,16.8295647,-25.0170819
node/4026779169,4026779169,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736529,https://www.openstreetmap.org/node/4026779169,16.8355446,-25.0213704
node/6296139540,6296139540,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736552,https://www.openstreetmap.org/node/6296139540,16.8314038,-25.0191327
node/6296139541,6296139541,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736573,https://www.openstreetmap.org/node/6296139541,16.8306363,-25.0179503
node/4026779888,4026779888,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736593,https://www.openstreetmap.org/node/4026779888,16.8364251,-25.0226826
node/4026777792,4026777792,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736617,https://www.openstreetmap.org/node/4026777792,16.8341813,-25.0205111
node/4026777791,4026777791,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.736637,https://www.openstreetmap.org/node/4026777791,16.8326392,-25.0201608
node/3990812094,3990812094,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.737203,https://www.openstreetmap.org/node/3990812094,16.2127251,-22.9065533
node/3990812088,3990812088,node,Cabo Verde,generator,Capacity regex no match,850 kW,Tag 'generator:output:electricity' has value '850 kW' which could not be parsed,2026-07-01 00:54:40.737229,https://www.openstreetmap.org/node/3990812088,16.2133251,-22.9085033
