id,element_id,element_type,country,unit_type,reason,keywords,details,timestamp,url,lat,lon
way/706986299,706986299,way,Burundi,plant,Capacity placeholder value,yes,Tag 'plant:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:52:28.185516,https://www.openstreetmap.org/way/706986299,-4.059686496650373,29.546436601879428
way/1194083384,1194083384,way,Burundi,plant,Capacity regex no match,0.26,Tag 'plant:output:electricity' has value '0.26' which could not be parsed,2026-07-01 00:52:28.188406,https://www.openstreetmap.org/way/1194083384,-3.3559743198057004,29.384253473562076
way/1352626988,1352626988,way,Burundi,plant,Capacity regex no match,280 kW,Tag 'plant:output:electricity' has value '280 kW' which could not be parsed,2026-07-01 00:52:28.189610,https://www.openstreetmap.org/way/1352626988,-2.730387546986533,29.96490671897792
way/601949432,601949432,way,Djibouti,plant,Missing source tag,none,"tags: {'addr:city': 'Tadjoura تاجورة', 'landuse': 'industrial', 'name': 'Centrale Thermique de Tadjourah كهرباء جيبوتي تاجورة', 'name:ar': 'كهرباء جيبوتي تاجورة', 'name:en': 'EDD Tadjoura', 'name:es': 'Central Térmica de Tadyura', 'name:fr': 'Centrale Thermique de Tadjourah', 'operator': 'Électricité de Djibouti', 'operator:es': 'Electricidad de Djibouti', 'power': 'plant'}",2026-07-01 00:52:50.663664,https://www.openstreetmap.org/way/601949432,11.784478220108342,42.8689753229822
way/739484679,739484679,way,Djibouti,plant,Capacity regex no match,150kW,Tag 'plant:output:electricity' has value '150kW' which could not be parsed,2026-07-01 00:52:50.663906,https://www.openstreetmap.org/way/739484679,11.00504463558128,42.10651216657035
way/809817495,809817495,way,Djibouti,plant,Missing source tag,none,"tags: {'building': 'yes', 'plant:output:electricity': 'yes', 'power': 'plant'}",2026-07-01 00:52:50.664090,https://www.openstreetmap.org/way/809817495,11.151384945446956,42.68900922242434
way/1267617474,1267617474,way,British Indian Ocean Territory,plant,Capacity placeholder value,yes,Tag 'plant:output:electricity' contains placeholder value 'yes' instead of actual capacity,2026-07-01 00:56:42.194040,https://www.openstreetmap.org/way/1267617474,-7.299503797742225,72.40236772478941
way/485214167,485214167,way,Comoros,plant,Missing source tag,none,"tags: {'name': 'Groupe Electrogene', 'power': 'plant'}",2026-07-01 01:01:14.180495,https://www.openstreetmap.org/way/485214167,-11.806808450000002,43.4352906
way/1424446701,1424446701,way,Comoros,plant,Missing output tag,none,"tags: {'plant:source': 'solar', 'power': 'plant'}",2026-07-01 01:01:14.180787,https://www.openstreetmap.org/way/1424446701,-12.279303317727035,44.40386897169768
node/10651239187,10651239187,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526310,https://www.openstreetmap.org/node/10651239187,10.6914286,42.6006296
node/10651239231,10651239231,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526346,https://www.openstreetmap.org/node/10651239231,10.7078946,42.5767692
node/10651239189,10651239189,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526371,https://www.openstreetmap.org/node/10651239189,10.7005225,42.5987173
node/10651239188,10651239188,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526393,https://www.openstreetmap.org/node/10651239188,10.6959539,42.599677
node/10651239228,10651239228,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526413,https://www.openstreetmap.org/node/10651239228,10.6896705,42.5805774
node/10651239230,10651239230,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526435,https://www.openstreetmap.org/node/10651239230,10.6987644,42.5785955
node/10651239229,10651239229,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526454,https://www.openstreetmap.org/node/10651239229,10.6942358,42.5796248
node/10651239225,10651239225,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526473,https://www.openstreetmap.org/node/10651239225,10.6759937,42.5834447
node/10651239224,10651239224,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526491,https://www.openstreetmap.org/node/10651239224,10.6750438,42.5904246
node/10651239227,10651239227,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526510,https://www.openstreetmap.org/node/10651239227,10.685104,42.5815371
node/10651239226,10651239226,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526534,https://www.openstreetmap.org/node/10651239226,10.6805455,42.5824897
node/10651239176,10651239176,node,Ethiopia,generator,Capacity regex no match,2500 kW,Tag 'generator:output:electricity' has value '2500 kW' which could not be parsed,2026-07-01 01:06:48.526553,https://www.openstreetmap.org/node/10651239176,10.6823367,42.6025396
